District,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise,Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Latrine,Households_Urban_Latrine,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
Alwar,Rural,100,39.5,3.6,14.8,995261.0,782294.0,212967.0,0.395,0.0,0.036000000000000004,0.0,0.14800000000000002,0.0,115779.51200000002,31519.116000000005
Alwar,Total,100,37.4,3.2,27.5,995261.0,782294.0,212967.0,0.0,0.0,0.0,0.0,0.0,0.0,215130.85,58565.925
Alwar,Urban,100,28.8,1.6,79.3,995261.0,782294.0,212967.0,0.0,0.28800000000000003,0.0,0.016,0.0,0.793,620359.142,168882.83099999998
Bharatpur,Rural,100,54.5,4.7,7.8,,342068.83946488297,129697.0,0.545,0.0,0.047,0.0,0.078,0.0,26681.369478260873,10116.366
Bharatpur,Total,100,52.0,4.2,20.3,,342068.83946488297,129697.0,0.0,0.0,0.0,0.0,0.0,0.0,69439.97441137125,26328.491
Bharatpur,Urban,100,42.0,2.4,69.5,,342068.83946488297,129697.0,0.0,0.42,0.0,0.024,0.0,0.6950000000000001,237737.84342809365,90139.415
Dhaulpur,Rural,100,58.4,6.6,4.8,273296.0,214669.99999999997,58626.0,0.584,0.0,0.066,0.0,0.048,0.0,10304.159999999998,2814.0480000000002
Dhaulpur,Total,100,54.6,5.9,16.4,273296.0,214669.99999999997,58626.0,0.0,0.0,0.0,0.0,0.0,0.0,35205.87999999999,9614.663999999999
Dhaulpur,Urban,100,39.8,3.5,62.8,273296.0,214669.99999999997,58626.0,0.0,0.39799999999999996,0.0,0.035,0.0,0.628,134812.75999999998,36817.128
Karauli,Rural,100,62.4,5.6,8.2,364355.0,305047.0,59308.00000000001,0.624,0.0,0.055999999999999994,0.0,0.08199999999999999,0.0,25013.853999999996,4863.256
Karauli,Total,100,59.4,5.3,15.9,364355.0,305047.0,59308.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,48502.473,9429.972000000002
Karauli,Urban,100,41.5,3.1,62.4,364355.0,305047.0,59308.00000000001,0.0,0.41500000000000004,0.0,0.031000000000000003,0.0,0.624,190349.328,37008.192
Sawai Madhopur,Rural,100,55.2,4.4,8.8,353321.0,282057.0,71264.0,0.552,0.0,0.044000000000000004,0.0,0.08800000000000001,0.0,24821.016000000003,6271.232000000001
Sawai Madhopur,Total,100,51.4,4.1,20.7,353321.0,282057.0,71264.0,0.0,0.0,0.0,0.0,0.0,0.0,58385.799,14751.648
Sawai Madhopur,Urban,100,34.8,2.6,72.2,353321.0,282057.0,71264.0,0.0,0.348,0.0,0.026000000000000002,0.0,0.7220000000000001,203645.15399999998,51452.608
Dausa,Rural,100,47.1,5.3,9.3,420694.0,361084.0,59610.0,0.47100000000000003,0.0,0.053,0.0,0.09300000000000001,0.0,33580.812000000005,5543.7300000000005
Dausa,Total,100,44.7,4.9,17.4,420694.0,361084.0,59610.0,0.0,0.0,0.0,0.0,0.0,0.0,62828.615999999995,10372.14
Dausa,Urban,100,26.8,1.4,77.0,420694.0,361084.0,59610.0,0.0,0.268,0.0,0.013999999999999999,0.0,0.77,278034.68,45899.700000000004
